,index,TimeStamp (sec),workoutType,intervalType, lapIdx, Cadence (stokes/min), HRCur (bpm),workTime,restTime,lastSplitTime, Horizontal (meters),lastSplitDistance, Stroke500mPace (sec/500m),splitAvg500MPace,totalAvg500MPace, Power (watts),splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount, DriveLength (meters), DriveTime (ms),strokeSpeed, AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTime (sec), StrokeRecoveryTime (ms),PowerCurve,cumdist, StrokeDistance (meters), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,cum_dist,originalvelo,deltat,orig_dist,orig_time,orig_reltime,orig_idx,orig_state,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,1582654618.0,JustRowSplits,Distance,0,0.0,65.0,0:00:06,0:00:00,0:00:00.0,20.0,0,147.9141717966636,0:02:31.6,0:02:46.9,95.83096950275223,100,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,20.0,0.0,3.2467532467532467,0.0,0.0,1.0,5.0,0,20.0,3.2467532467532467,,20.0,0.0,0.0,0.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,95.83096950275223,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,1582654619.0,JustRowSplits,Distance,0,0.0,65.0,0:00:06,0:00:00,0:00:00.0,20.0,0,150.9910062446846,0:02:31.6,0:02:46.9,0.0,100,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inf,0.0,20.0,0.0,3.2467532467532467,0.0,0.0,1.0,5.0,0,20.0,3.2467532467532467,1.0,20.0,1.0,1.0,0.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,1582654620.0,JustRowSplits,Distance,0,66.0,65.0,0:00:07,0:00:00,0:00:00.0,23.0,0,153.31871561187984,0:02:44.8,0:02:44.8,102.0,78,78,650,2.0,2.37,900.0,3.33,81.0,134.0,0.0,2.0,9.090909090909124,0.0,23.0,0.0,3.3112582781456954,360.30582000000004,596.06148,1.0,5.0,1,23.0,3.3112582781456954,1.0,23.0,2.0,2.0,0.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,102.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,1582654621.0,JustRowSplits,Distance,0,66.0,65.0,0:00:08,0:00:00,0:00:00.0,27.0,0,154.87912753990216,0:02:44.8,0:02:44.8,102.0,78,78,650,2.0,2.37,900.0,3.33,81.0,134.0,0.0,3.0,9.090909090909124,0.0,27.0,0.0,3.3112582781456954,360.30582000000004,596.06148,1.0,5.0,2,27.0,3.3112582781456954,1.0,27.0,3.0,3.0,0.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,102.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,1582654622.0,JustRowSplits,Distance,0,66.0,66.0,0:00:10,0:00:00,0:00:00.0,31.0,0,155.6809642321005,0:02:44.8,0:02:44.8,101.65697972466064,78,78,761,3.0,0.56,380.0,20.92,20.0,34.0,0.0,4.0,529.0909090909091,0.0,31.0,0.0,3.3112582781456954,88.9644,151.23948,1.0,5.0,3,31.0,3.3112582781456954,1.0,31.0,4.0,4.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,101.65697972466064,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,1582654623.0,JustRowSplits,Distance,0,27.0,66.0,0:00:10,0:00:00,0:00:00.0,34.0,0,155.7579842868117,0:02:38.0,0:02:38.0,134.0,89,89,761,3.0,0.56,380.0,20.92,20.0,34.0,103.0,5.0,1842.2222222222226,0.0,34.0,0.0,3.6231884057971016,88.9644,151.23948,1.0,5.0,3,34.0,3.6231884057971016,1.0,34.0,5.0,5.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,134.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,1582654624.0,JustRowSplits,Distance,0,27.0,66.0,0:00:00,0:00:00,0:00:00.0,34.0,0,155.1652988835717,0:02:38.0,0:02:38.0,0.0,89,89,761,3.0,0.0,0.0,20.92,0.0,0.0,103.0,6.0,2222.222222222222,0.0,34.0,0.0,3.6231884057971016,0.0,0.0,1.0,5.0,4,34.0,3.6231884057971016,1.0,0.0,6.0,6.0,1.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,1582654647.5,FixedDistanceInterval,Distance,0,0.0,76.0,0:00:01,0:01:00,0:00:00.0,38.0,0,153.97445736555167,0:00:00.0,0:02:58.0,62.0,0,62,514,4.0,1.21,1030.0,2.83,97.0,157.0,0.0,29.5,inf,0.0,38.0,0.0,2.808988764044944,431.47734,698.37054,1.0,5.0,4,38.0,2.808988764044944,23.5,4.0,29.5,29.5,1.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,1582654648.5,FixedDistanceInterval,Distance,0,0.0,77.0,0:00:01,0:01:00,0:00:00.0,40.0,0,152.26798537314332,0:02:58.0,0:02:58.0,62.0,62,62,514,4.0,1.21,1030.0,2.83,97.0,157.0,0.0,30.5,inf,0.0,40.0,0.0,2.808988764044944,431.47734,698.37054,1.0,5.0,4,40.0,2.808988764044944,1.0,6.0,30.5,30.5,1.0,4.0,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,1582654649.5,FixedDistanceInterval,Distance,0,0.0,77.0,0:00:02,0:01:00,0:00:00.0,43.0,0,150.13401477445126,0:02:58.0,0:02:58.0,62.0,62,62,514,4.0,1.21,1030.0,2.83,97.0,157.0,0.0,31.5,inf,0.0,43.0,0.0,2.808988764044944,431.47734,698.37054,1.0,5.0,4,43.0,2.808988764044944,1.0,9.0,31.5,31.5,1.0,4.0,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,10,1582654650.5,FixedDistanceInterval,Distance,0,24.0,78.0,0:00:04,0:01:00,0:00:00.0,47.0,0,147.74629656219602,0:02:29.7,0:02:29.7,127.0,104,104,736,5.0,1.42,840.0,10.42,98.0,161.0,104.0,32.5,1660.0,0.0,47.0,0.0,3.571428571428572,435.92555999999996,716.16342,1.0,5.0,4,47.0,3.571428571428572,1.0,13.0,32.5,32.5,1.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,127.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,11,1582654651.5,FixedDistanceInterval,Distance,0,24.0,78.0,0:00:05,0:01:00,0:00:00.0,51.0,0,145.16699984001846,0:02:29.7,0:02:29.7,127.0,104,104,736,5.0,1.42,840.0,10.42,98.0,161.0,104.0,33.5,1660.0,0.0,51.0,0.0,3.571428571428572,435.92555999999996,716.16342,1.0,5.0,5,51.0,3.571428571428572,1.0,17.0,33.5,33.5,1.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,127.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,12,1582654652.5,FixedDistanceInterval,Distance,0,24.0,78.0,0:00:06,0:01:00,0:00:00.0,56.0,0,142.271005845982,0:02:29.7,0:02:29.7,127.55102040816328,104,104,816,6.0,1.33,710.0,14.31,90.0,161.0,104.0,34.5,1790.0,0.0,56.0,0.0,3.571428571428572,400.3398,716.16342,1.0,5.0,5,56.0,3.571428571428572,1.0,22.0,34.5,34.5,1.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,127.55102040816328,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,1582654653.5,FixedDistanceInterval,Distance,0,22.0,79.0,0:00:07,0:01:00,0:00:00.0,59.0,0,139.35341269138758,0:02:21.8,0:02:21.8,150.0,123,123,816,6.0,1.33,710.0,14.31,90.0,161.0,104.0,35.5,2017.2727272727273,0.0,59.0,0.0,3.7593984962406015,400.3398,716.16342,1.0,5.0,5,59.0,3.7593984962406015,1.0,25.0,35.5,35.5,1.0,4.0,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,150.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,1582654654.5,FixedDistanceInterval,Distance,0,22.0,79.0,0:00:08,0:01:00,0:00:00.0,64.0,0,136.52183134923902,0:02:21.8,0:02:21.8,150.0,123,123,816,6.0,1.33,710.0,14.31,90.0,161.0,104.0,36.5,2017.2727272727273,0.0,64.0,0.0,3.7593984962406015,400.3398,716.16342,1.0,5.0,6,64.0,3.7593984962406015,1.0,30.0,36.5,36.5,1.0,4.0,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,150.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,1582654655.5,FixedDistanceInterval,Distance,0,21.0,80.0,0:00:09,0:01:00,0:00:00.0,67.0,0,132.73472847430577,0:02:17.6,0:02:17.6,162.0,134,134,857,7.0,1.33,700.0,15.43,90.0,154.0,104.0,37.5,2157.1428571428573,0.0,67.0,0.0,3.875968992248062,400.3398,685.02588,1.0,5.0,6,67.0,3.875968992248062,1.0,33.0,37.5,37.5,1.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,162.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,1582654656.5,FixedDistanceInterval,Distance,0,21.0,80.0,0:00:10,0:01:00,0:00:00.0,71.0,0,128.8172953847201,0:02:17.6,0:02:17.6,162.0,134,134,857,7.0,1.33,700.0,15.43,90.0,154.0,104.0,38.5,2157.1428571428573,0.0,71.0,0.0,3.875968992248062,400.3398,685.02588,1.0,5.0,6,71.0,3.875968992248062,1.0,37.0,38.5,38.5,1.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,162.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,1582654657.5,FixedDistanceInterval,Distance,0,21.0,80.0,0:00:11,0:01:00,0:00:00.0,75.0,0,127.4974993014427,0:02:17.6,0:02:17.6,162.0,134,134,857,7.0,1.33,700.0,15.43,90.0,154.0,104.0,39.5,2157.1428571428573,0.0,75.0,0.0,3.875968992248062,400.3398,685.02588,1.0,5.0,7,75.0,3.875968992248062,1.0,41.0,39.5,39.5,1.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,162.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
