,index,TimeStamp (sec),workoutType,intervalType, lapIdx, Cadence (stokes/min), HRCur (bpm),workTime,restTime,lastSplitTime,cumdist, Horizontal (meters), WorkoutState,lastSplitDistance, Stroke500mPace (sec/500m),splitAvg500MPace,totalAvg500MPace, Power (watts),splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount, DriveLength (meters), DriveTime (ms),strokeSpeed, AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTime (sec), StrokeRecoveryTime (ms),PowerCurve,, StrokeDistance (meters), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal),, Stroke Number,cum_dist,originalvelo,deltat,orig_dist,orig_time,orig_reltime,orig_idx,orig_state,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,1582654618,JustRowSplits,Distance,0,0,65,0:00:06,0:00:00,0:00:00.0,20,20,5,0,147.914171796664,0:02:31.6,0:02:46.9,95.8309695027522,100,75,0,0,0,0,0,0,0,0,0,inf,0,,0,3.24675324675325,0,0,1,,0,20,3.24675324675325,,20,0,0,0,4,65,0,0,0,0,0,142,146,160,167,180,192,95.8309695027522,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
1,1,1582654619,JustRowSplits,Distance,0,0,65,0:00:06,0:00:00,0:00:00.0,20,20,5,0,150.991006244685,0:02:31.6,0:02:46.9,0,100,75,0,0,0,0,0,0,0,0,1,inf,0,,0,3.24675324675325,0,0,1,,0,20,3.24675324675325,1,20,1,1,0,4,65,0,0,0,0,0,142,146,160,167,180,192,0,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
2,2,1582654620,JustRowSplits,Distance,0,66,65,0:00:07,0:00:00,0:00:00.0,23,23,5,0,153.31871561188,0:02:44.8,0:02:44.8,102,78,78,650,2,2.37,900,3.33,81,134,0,2,9.09090909090912,0,,0,3.3112582781457,360.30582,596.06148,1,,1,23,3.3112582781457,1,23,2,2,0,4,65,0,0,0,0,0,142,146,160,167,180,192,102,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
3,3,1582654621,JustRowSplits,Distance,0,66,65,0:00:08,0:00:00,0:00:00.0,27,27,5,0,154.879127539902,0:02:44.8,0:02:44.8,102,78,78,650,2,2.37,900,3.33,81,134,0,3,9.09090909090912,0,,0,3.3112582781457,360.30582,596.06148,1,,2,27,3.3112582781457,1,27,3,3,0,4,65,0,0,0,0,0,142,146,160,167,180,192,102,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
4,4,1582654622,JustRowSplits,Distance,0,66,66,0:00:10,0:00:00,0:00:00.0,31,31,5,0,155.680964232101,0:02:44.8,0:02:44.8,101.656979724661,78,78,761,3,0.56,380,20.92,20,34,0,4,529.090909090909,0,,0,3.3112582781457,88.9644,151.23948,1,,3,31,3.3112582781457,1,31,4,4,0,4,66,0,0,0,0,0,142,146,160,167,180,192,101.656979724661,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
5,5,1582654623,JustRowSplits,Distance,0,27,66,0:00:10,0:00:00,0:00:00.0,34,34,5,0,155.757984286812,0:02:38.0,0:02:38.0,134,89,89,761,3,0.56,380,20.92,20,34,103,5,1842.22222222222,0,,0,3.6231884057971,88.9644,151.23948,1,,3,34,3.6231884057971,1,34,5,5,0,4,66,0,0,0,0,0,142,146,160,167,180,192,0,134,0,0,0,0,124.3,169.5,203.4,237.3,271.2
6,6,1582654624,JustRowSplits,Distance,0,27,66,0:00:00,0:00:00,0:00:00.0,34,34,5,0,155.165298883572,0:02:38.0,0:02:38.0,0,89,89,761,3,0,0,20.92,0,0,103,6,2222.22222222222,0,,0,3.6231884057971,0,0,1,,4,34,3.6231884057971,1,0,6,6,1,4,66,0,0,0,0,0,142,146,160,167,180,192,0,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
7,7,1582654647.5,FixedDistanceInterval,Distance,0,0,76,0:00:01,0:01:00,0:00:00.0,38,38,5,0,153.974457365552,0:00:00.0,0:02:58.0,62,0,62,514,4,1.21,1030,2.83,97,157,0,29.5,inf,0,,0,2.80898876404494,431.47734,698.37054,1,,4,38,2.80898876404494,23.5,4,29.5,29.5,1,4,76,0,0,0,0,0,142,146,160,167,180,192,62,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
8,8,1582654648.5,FixedDistanceInterval,Distance,0,0,77,0:00:01,0:01:00,0:00:00.0,40,40,5,0,152.267985373143,0:02:58.0,0:02:58.0,62,62,62,514,4,1.21,1030,2.83,97,157,0,30.5,inf,0,,0,2.80898876404494,431.47734,698.37054,1,,4,40,2.80898876404494,1,6,30.5,30.5,1,4,77,0,0,0,0,0,142,146,160,167,180,192,62,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
9,9,1582654649.5,FixedDistanceInterval,Distance,0,0,77,0:00:02,0:01:00,0:00:00.0,43,43,5,0,150.134014774451,0:02:58.0,0:02:58.0,62,62,62,514,4,1.21,1030,2.83,97,157,0,31.5,inf,0,,0,2.80898876404494,431.47734,698.37054,1,,4,43,2.80898876404494,1,9,31.5,31.5,1,4,77,0,0,0,0,0,142,146,160,167,180,192,62,0,0,0,0,0,124.3,169.5,203.4,237.3,271.2
