,index,index.2,index.1,id_x,TimeStamp (sec),sessionId, lapIdx,type, ElapsedTime (sec), latitude, longitude,GPS Speed,ImpellerSpeed, Horizontal (meters),ImpellerDistance, HRCur (bpm),strokeCount, Cadence (stokes/min),totalCaloriesBurned,caloriesPerHour,caloriesPerStroke, StrokeDistance (meters),impellerDistStroke, Stroke500mPace (sec/500m),impellerPace,sessionStrokeIndex,id_y,sessionStrokeId,oarlockSessionId,catch,cycleTime, DriveTime (ms),effectiveLength,finish, AverageDriveForce (lbs), PeakDriveForce (lbs),peakforceangle, Power (watts),driveenergy,slip,timestamp_y,totalLength,wash,GPSSpeed,GPSDistance, StrokeRecoveryTime (ms),cumdist,cum_dist, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo
0,0,0,0,907804659,1695204027.999,1199251,1504445,7,0.0,52.2251684,6.845754,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2090.371621621616,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.0
1,1,1,1,907804660,1695204031.054,1199251,1504445,0,3.054999828338623,52.2251684,6.845754,1.47,0.0,4.83,0.0,0.0,1,19.5,0.0,0.0,0.0,4.8,0.0,503.0743432084962,0.0,1,33541906.0,907804660.0,65926.0,-27.0,1810.0,910.0,45.0,33.0,39.5888692555674,75.42342779808553,-2.0,103.9,319.6923076923077,3.0,1695204031054.0,60.0,12.0,1.47,4.83,900.0,4.83,4.83,0.0,0.0,1.47,176.1,335.5,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.47
2,2,2,2,907804661,1695204033.132,1199251,1504445,0,5.132999897003174,52.2251853,6.8457344,1.45,0.0,7.14,0.0,0.0,2,18.5,0.0,0.0,0.0,2.3,0.0,344.39231900767294,0.0,4,33541908.0,907804661.0,65926.0,-1.0,1660.0,780.0,28.0,39.0,38.105129692326365,78.34594511962088,15.0,75.2,243.8918918918919,5.0,1695204033132.0,40.0,7.0,1.45,7.14,880.0,7.14,7.14,0.0,0.0,1.45,169.49999999999997,348.5,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,75.2,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.45
3,3,3,3,907804662,1695204034.664,1199251,1504445,0,6.664999961853027,52.2252063,6.8457083,1.42,0.0,10.08,0.0,0.0,3,35.5,0.0,0.0,0.0,2.9,0.0,295.2944635483911,0.0,6,33541909.0,907804662.0,65926.0,-2.0,1660.0,770.0,27.0,40.0,27.786395457059225,58.225537405973625,20.0,57.7,97.52112676056338,5.0,1695204034664.0,42.0,10.0,1.42,10.08,890.0,10.08,10.08,0.0,0.0,1.42,123.59999999999998,259.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.42
4,4,4,4,907804663,1695204036.222,1199251,1504445,0,8.222999811172485,52.2252247,6.8456854,1.66,0.0,12.65,0.0,0.0,4,37.0,0.0,0.0,0.0,2.6,0.0,278.04525758305294,0.0,8,33541910.0,907804663.0,65926.0,-3.0,1540.0,690.0,29.0,42.0,33.90120092981013,64.25041926883112,21.0,74.4,120.64864864864865,7.0,1695204036222.0,45.0,9.0,1.66,12.65,850.0,12.65,12.65,0.0,0.0,1.66,150.8,285.8,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,74.4,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.6599999999999997
5,5,5,5,907804664,1695204037.851,1199251,1504445,0,9.851999998092651,52.2252508,6.8456538,1.9,0.0,16.27,0.0,0.0,5,39.0,0.0,0.0,0.0,3.6,0.0,273.5994314817013,0.0,10,33541911.0,907804664.0,65926.0,0.0,1470.0,660.0,23.0,41.0,28.10112809168612,67.10549388294643,17.0,65.7,101.07692307692308,9.0,1695204037851.0,41.0,9.0,1.9,16.27,810.0,16.27,16.27,0.0,0.0,1.9,125.0,298.5,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,65.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.9
6,6,6,6,907804665,1695204039.128,1199251,1504445,0,11.128999948501587,52.2252664,6.8456346,2.05,0.0,18.44,0.0,0.0,6,43.0,0.0,0.0,0.0,2.2,0.0,247.7583765927328,0.0,12,33541912.0,907804665.0,65926.0,-1.0,1320.0,560.0,28.0,41.0,37.72295435027944,65.7116779295988,17.0,83.9,117.06976744186046,6.0,1695204039128.0,42.0,8.0,2.05,18.44,760.0,18.44,18.44,0.0,0.0,2.05,167.8,292.3,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.9,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.05
7,7,7,7,907804666,1695204040.859,1199251,1504445,0,12.859999895095825,52.2252993,6.8455962,2.19,0.0,22.95,0.0,0.0,7,33.0,0.0,0.0,0.0,4.5,0.0,224.76064450844595,0.0,14,33541913.0,907804666.0,65926.0,-21.0,1990.0,760.0,49.0,42.0,52.17817464064277,90.73292238243612,10.0,122.0,221.8181818181818,7.0,1695204040859.0,63.0,7.0,2.19,22.95,1230.0,22.95,22.95,0.0,0.0,2.19,232.1,403.6,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,122.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.1899999999999995
8,8,8,8,907804667,1695204043.05,1199251,1504445,0,15.050999879837036,52.2253393,6.8455501,2.36,0.0,28.4,0.0,0.0,8,28.5,0.0,0.0,0.0,5.5,0.0,208.90231329920996,0.0,16,33541914.0,907804667.0,65926.0,-26.0,2160.0,830.0,52.0,43.0,46.10833097283857,81.56071417330978,8.0,109.5,230.52631578947367,8.0,1695204043050.0,69.0,9.0,2.36,28.4,1330.0,28.4,28.4,0.0,0.0,2.36,205.1,362.8,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,109.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.36
9,9,9,9,907804668,1695204045.222,1199251,1504445,0,17.222999811172485,52.2253793,6.8455042,2.55,0.0,33.84,0.0,0.0,9,27.5,0.0,0.0,0.0,5.4,0.0,196.8571038996458,0.0,18,33541915.0,907804668.0,65926.0,-27.0,2240.0,900.0,55.0,44.0,41.747035893008885,86.0344137655062,8.0,110.6,241.3090909090909,7.0,1695204045222.0,71.0,9.0,2.55,33.84,1340.0,33.84,33.84,0.0,0.0,2.55,185.7,382.7,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,110.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.55
