,index,index.2,index.1,id_x,TimeStamp (sec),sessionId, lapIdx,type, ElapsedTime (sec), latitude, longitude,GPS Speed,ImpellerSpeed, Horizontal (meters),ImpellerDistance, HRCur (bpm),strokeCount, Cadence (stokes/min),totalCaloriesBurned,caloriesPerHour,caloriesPerStroke, StrokeDistance (meters),impellerDistStroke, Stroke500mPace (sec/500m),impellerPace,sessionStrokeIndex,id_y,sessionStrokeId,oarlockSessionId,catch,cycleTime, DriveTime (ms),effectiveLength,finish, AverageDriveForce (lbs), PeakDriveForce (lbs),peakforceangle, Power (watts),driveenergy,slip,timestamp_y,totalLength,wash,GPSSpeed,GPSDistance, StrokeRecoveryTime (ms),cumdist,cum_dist, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo
0,0,0,0,909328762,1695314375.999,1201279,1506943,7,0.0,52.2251145,6.8455977,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5809.859154929604,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.0
1,1,1,1,909328763,1695314379.578,1201279,1506943,0,3.5789999961853027,52.2251145,6.8455977,1.02,0.0,4.23,0.0,0.0,1,16.5,0.0,0.0,0.0,4.2,0.0,605.8380760051409,0.0,1,33574287.0,909328763.0,66003.0,10.0,3470.0,1420.0,0.0,32.0,2.7651510042219134,7.261331498891691,16.0,1.2,4.363636363636363,0.0,1695314379578.0,22.0,0.0,1.02,4.23,2050.0,4.23,4.23,0.0,0.0,1.02,12.3,32.3,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.0200000000000002
2,2,2,2,909328764,1695314380.996,1201279,1506943,0,4.996999979019165,52.2251314,6.8455774,1.32,0.0,6.56,0.0,0.0,2,38.5,0.0,0.0,0.0,2.3,0.0,364.68693757696326,0.0,4,33574289.0,909328764.0,66003.0,0.0,1530.0,740.0,29.0,41.0,37.3857408131792,75.76064133518575,14.0,85.3,132.93506493506493,4.0,1695314380996.0,41.0,8.0,1.32,6.56,790.0,6.56,6.56,0.0,0.0,1.32,166.3,337.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.3199999999999998
3,3,3,3,909328765,1695314382.574,1201279,1506943,0,6.574999809265137,52.2251558,6.8455502,1.66,0.0,9.85,0.0,0.0,3,41.5,0.0,0.0,0.0,3.3,0.0,284.56686705430184,0.0,6,33574290.0,909328765.0,66003.0,2.0,1330.0,640.0,22.0,40.0,29.36005863019365,64.00312934162429,16.0,67.7,97.87951807228916,7.0,1695314382574.0,38.0,9.0,1.66,9.85,690.0,9.85,9.85,0.0,0.0,1.66,130.6,284.7,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,67.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.6599999999999997
4,4,4,4,909328766,1695314383.98,1201279,1506943,0,7.980999946594238,52.2251794,6.8455249,2.01,0.0,12.99,0.0,0.0,4,41.5,0.0,0.0,0.0,3.1,0.0,247.8753541076491,0.0,8,33574291.0,909328766.0,66003.0,-1.0,1480.0,680.0,23.0,40.0,24.032084744009964,51.84096110354254,16.0,54.6,78.93975903614458,6.0,1695314383980.0,41.0,12.0,2.01,12.99,800.0,12.99,12.99,0.0,0.0,2.01,106.9,230.6,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.01
5,5,5,5,909328767,1695314385.378,1201279,1506943,0,9.378999948501587,52.2252044,6.845499,2.21,0.0,16.29,0.0,0.0,5,43.0,0.0,0.0,0.0,3.3,0.0,228.15265486725696,0.0,10,33574292.0,909328767.0,66003.0,0.0,1310.0,560.0,21.0,41.0,27.08948748038541,50.87428229718854,13.0,60.0,83.72093023255815,7.0,1695314385378.0,41.0,13.0,2.21,16.29,750.0,16.29,16.29,0.0,0.0,2.21,120.5,226.3,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.21
6,6,6,6,909328768,1695314386.789,1201279,1506943,0,10.789999961853027,52.225231,6.8454742,2.32,0.0,19.7,0.0,0.0,6,40.0,0.0,0.0,0.0,3.4,0.0,213.05246070980627,0.0,12,33574293.0,909328768.0,66003.0,1.0,1540.0,640.0,25.0,42.0,26.819716650705224,56.02240896358544,17.0,58.6,87.9,8.0,1695314386789.0,41.0,8.0,2.32,19.7,900.0,19.7,19.7,0.0,0.0,2.32,119.3,249.2,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.32
7,7,7,7,909328769,1695314388.175,1201279,1506943,0,12.175999879837036,52.2252589,6.8454503,2.4,0.0,23.2,0.0,0.0,7,43.0,0.0,0.0,0.0,3.5,0.0,211.5772119435797,0.0,14,33574294.0,909328769.0,66003.0,4.0,1530.0,760.0,20.0,43.0,19.221171614713302,60.51858945825521,20.0,52.8,73.67441860465117,7.0,1695314388175.0,39.0,12.0,2.4,23.2,770.0,23.2,23.2,0.0,0.0,2.4,85.50000000000001,269.2,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.8,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.4000000000000004
8,8,8,8,909328770,1695314393.449,1201279,1506943,0,17.449999809265137,52.2253414,6.8453744,2.45,0.0,33.74,0.0,0.0,8,45.5,0.0,0.0,0.0,10.5,0.0,215.7305889164911,0.0,16,33574295.0,909328770.0,66003.0,24.0,1240.0,900.0,20.0,31.0,2.2705711498082377,5.395416593603733,27.0,1.5,1.978021978021978,7.0,1695314393449.0,7.0,12.0,2.45,33.74,340.0,33.74,33.74,0.0,0.0,2.45,10.1,24.0,1.0,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,1.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.45
9,9,9,9,909328771,1695314394.605,1201279,1506943,0,18.60599994659424,52.2253611,6.8453576,2.27,0.0,36.22,0.0,0.0,9,11.5,0.0,0.0,0.0,2.5,0.0,216.2597363690836,0.0,18,33574296.0,909328771.0,66003.0,-23.0,1910.0,920.0,54.0,44.0,54.98828744981138,95.40895009689268,9.0,146.7,765.3913043478261,4.0,1695314394605.0,67.0,9.0,2.27,36.22,990.0,36.22,36.22,0.0,0.0,2.27,244.6,424.4,1.0,4.0,11,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,146.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.27
10,10,10,10,909328772,1695314396.98,1201279,1506943,0,20.98099994659424,52.2254043,6.8453235,2.14,0.0,41.56,0.0,0.0,10,26.5,0.0,0.0,0.0,5.3,0.0,210.5282344792391,0.0,20,33574297.0,909328772.0,66003.0,-25.0,2160.0,900.0,55.0,45.0,49.70527536857439,92.39650916546394,3.0,128.6,291.1698113207547,5.0,1695314396980.0,70.0,10.0,2.14,41.56,1260.0,41.56,41.56,0.0,0.0,2.14,221.1,411.0,1.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,128.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.14
11,11,11,11,909328773,1695314399.441,1201279,1506943,0,23.441999912261963,52.2254523,6.8452856,2.44,0.0,47.5,0.0,0.0,11,26.0,0.0,0.0,0.0,5.9,0.0,201.6164225740572,0.0,22,33574298.0,909328773.0,66003.0,-32.0,2320.0,930.0,58.0,46.0,45.34398028874471,87.63055784111397,5.0,118.3,273.0,7.0,1695314399441.0,78.0,13.0,2.44,47.5,1390.0,47.5,47.5,0.0,0.0,2.44,201.7,389.8,1.0,4.0,13,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,118.3,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.44
12,12,12,12,909328774,1695314401.777,1201279,1506943,0,25.777999877929688,52.2255117,6.8452389,2.77,0.0,54.84,0.0,0.0,12,24.5,0.0,0.0,0.0,7.3,0.0,189.92337290755444,0.0,24,33574299.0,909328774.0,66003.0,-35.0,2500.0,990.0,59.0,45.0,41.83695950290228,91.67712028631678,6.0,114.3,279.9183673469388,8.0,1695314401777.0,80.0,13.0,2.77,54.84,1510.0,54.84,54.84,0.0,0.0,2.77,186.1,407.8,1.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,114.3,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.77
13,13,13,13,909328775,1695314404.382,1201279,1506943,0,28.382999897003174,52.2255748,6.8451924,2.92,0.0,62.54,0.0,0.0,13,23.5,0.0,0.0,0.0,7.7,0.0,177.2179089821097,0.0,26,33574300.0,909328775.0,66003.0,-39.0,2520.0,960.0,66.0,48.0,49.18821461168737,94.82444663258562,0.0,130.7,333.70212765957444,7.0,1695314404382.0,87.0,14.0,2.92,62.54,1560.0,62.54,62.54,0.0,0.0,2.92,218.8,421.8,1.0,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,130.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.92
