TimeStamp (sec)," Horizontal (meters)"," Cadence (stokes/min)"," HRCur (bpm)"," Stroke500mPace (sec/500m)"," Power (watts)"," DriveLength (meters)"," StrokeDistance (meters)"," drivetime"," DragFactor"," StrokeRecoveryTime (ms)"," WorkPerStroke (joules)"," AverageDriveForce (lbs)"," PeakDriveForce (lbs)"," Speed (m/sec)"," lapIdx"," ElapsedTime (sec)"," Calories (kCal)"," WorkoutState"," latitude"," longitude"," bearing",nowindpace,Equiv erg Power,power (model),averageforce (model),drivelength (model),vwind,winddirection,vstream
1463751686.962390,5.400000,0.000000,127.000000,262.890000,19.000000,0.770000,1.830000,0.000000,0.000000,1580.000000,0.000000,23.000000,47.000000,1.905000,0.000000,2.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751690.200540,13.100000,19.000000,127.000000,239.410000,26.000000,1.360000,6.520000,0.000000,0.000000,1750.000000,82.105263,42.400000,67.400000,2.092000,0.000000,6.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751693.110680,21.000000,20.000000,128.000000,199.120000,45.000000,1.300000,7.440000,0.000000,0.000000,1750.000000,135.000000,43.900000,69.800000,2.517000,0.000000,8.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751696.231390,30.300000,20.000000,129.000000,176.450000,64.000000,1.300000,8.320000,0.000000,0.000000,1870.000000,192.000000,45.200000,72.500000,2.841000,0.000000,12.080000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751699.114570,39.000000,20.000000,130.000000,168.510000,74.000000,1.270000,8.800000,0.000000,0.000000,1790.000000,222.000000,46.500000,72.800000,2.975000,0.000000,14.950000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751702.110660,48.200000,21.000000,131.000000,163.970000,80.000000,1.300000,8.800000,0.000000,0.000000,1890.000000,228.571429,45.400000,72.700000,3.058000,0.000000,17.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751705.111300,57.600000,20.000000,131.000000,162.090000,83.000000,1.330000,9.160000,0.000000,0.000000,1900.000000,249.000000,49.800000,79.800000,3.094000,0.000000,20.920000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751707.870640,66.400000,20.000000,132.000000,159.770000,87.000000,1.270000,9.220000,0.000000,0.000000,1900.000000,261.000000,48.200000,75.300000,3.139000,0.000000,23.720000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751710.781400,75.500000,21.000000,132.000000,160.140000,86.000000,1.300000,9.150000,0.000000,0.000000,1860.000000,245.714286,48.400000,75.900000,3.131000,0.000000,26.630000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1463751713.904900,85.100000,20.000000,132.000000,158.980000,88.000000,1.330000,9.290000,0.000000,0.000000,1810.000000,264.000000,52.800000,85.800000,3.154000,0.000000,29.620000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
